from,to,share
E100000002305,E100001010595,11.44
E100000002305,E100001011289,6.3
E100000002305,E100001000348,14.1
E100000003272,E100000000130,100.0
E100000003329,E100000000601,12.0
E100000003329,E100000000595,9.0
E100000003329,E100000000592,16.0
E100000003329,E100000000593,9.0
E100000003329,E100000000589,26.0
E100000003329,E100000001753,28.0
E100000003502,E100000000543,65.0
E100000003502,E100000000552,35.0
E100000003098,E100000000543,100.0
E100000002523,E100000000156,100.0
E100000002521,E100000000156,100.0
E100000002522,E100000000156,100.0
E100000002519,E100000000156,100.0
E100000002524,E100000000156,100.0
E100000002525,E100000123424,39.97
E100000123424,E100000000152,100.0
E100000002525,E100000000156,60.03
E100000002526,E100000000188,26.0
E100000002526,E100000000156,74.0
E100000124801,E100000000500,100.0
E100001000436,E100000000158,100.0
E100000000158,E100000125527,100.0
E100000124157,E100000124801,100.0
E100000004386,E100001000436,85.0
E100000004386,E100000124157,15.0
E100000123426,E100000000158,100.0
E100000002527,E100000123426,100.0
E100000003754,E100000000535,100.0
E100000000894,E100001000024,100.0
E100000002239,E100000002239,100.0
E100000002530,E100000000727,100.0
E100000002530,E100001000342,
E100000002530,E100000000387,
E100000003294,E100000001235,100.0
E100000125134,E100000124495,100.0
E100000125060,E100000125236,80.0
E100000125060,E100000125237,20.0
E100000000155,E100000123261,95.1
E100000125059,E100000000155,94.0
E100000000155,E100000001753,4.9
E100000125262,E100000001753,2.0
E100000125262,E100000000155,98.0
E100000125059,E100000125262,6.0
E100000124495,E100000125060,12.22
E100000124495,E100000001753,4.99
E100000124495,E100000125059,82.79
E100000124695,E100000125133,5.0
